1;Graine de tomates;graine;20;Les tomates sont originaires d'Amérique Latine;0
2;Pomme de terre;tubercule;20;Communément appelé patate, elle a été popularisée par Antoine Augustin Parmentier;0
3;Améthyste;pierre;5;L’améthyste est une variété de quartz violet;0
4;Diamant;pierre;1;Le diamant est le matériau naturel le plus dur;0
5;Graine de moutarde;graine;20;La moutarde peut servir d'engrais vert et de paillage afin de protéger et enrichir le sol pendant l'hiver;0
6;Gingembre;rhizome;10;Le gingembre fait partie de la pharmacopée asiatique depuis plusieurs siècles;0
7;Petit-pois;graine;20;Les petits pois sont particulièrement délicieux crus, à la sortie de la cosse, juste après la récolte;0
8;Courgette;légume;14;La courgette comme le concombre et le potiron fait partie de cucurbitacées;0
9;Coriandre;graine;18;Les graines de coriandre sont aussi appelée akènes (m);0
10;Silex;pierre;12;Le silex a été utilisé tout au long de la préhistoire pour la fabrication d'outils et d'armes;0
